ai_X_level,ai_O_level,starting_player,winner,moves,duration_s
1,3,O,O,5,0.113453
1,3,O,O,5,0.153386
1,3,O,O,5,0.112212
1,3,O,O,7,0.158265
1,3,O,O,5,0.112192
1,3,O,O,5,0.115759
1,3,O,O,7,0.156572
1,3,O,O,5,0.111578
1,3,O,O,7,0.158540
1,3,O,O,5,0.111833
1,3,O,O,7,0.162792
1,3,O,O,5,0.115881
1,3,O,O,5,0.154713
1,3,O,O,7,0.134766
1,3,O,O,7,0.116796
1,3,O,O,5,0.160511
1,3,O,O,7,0.113910
1,3,O,O,5,0.160947
1,3,O,O,7,0.170532
1,3,O,O,5,0.192505
1,3,O,O,7,0.114731
1,3,O,O,7,0.160166
1,3,O,O,5,0.122654
1,3,O,O,5,0.114058
1,3,O,O,5,0.164993
1,3,O,O,5,0.113598
1,3,O,O,5,0.113691
1,3,O,O,5,0.156927
1,3,O,O,5,0.113082
1,3,O,O,5,0.161122
1,3,O,O,7,0.113977
1,3,O,O,5,0.162651
1,3,O,O,5,0.115767
1,3,O,O,7,0.166186
1,3,O,O,5,0.113559
1,3,O,O,5,0.124861
1,3,O,O,5,0.149504
1,3,O,O,5,0.112887
1,3,O,O,7,0.152573
1,3,O,O,9,0.121808
1,3,O,O,5,0.119337
1,3,O,O,5,0.162403
1,3,O,O,5,0.114817
1,3,O,O,9,0.162363
1,3,O,O,5,0.113443
1,3,O,O,7,0.158892
1,3,O,O,5,0.113364
1,3,O,O,5,0.113700
1,3,O,O,7,0.163582
1,3,O,O,9,0.116956
1,3,O,O,5,0.167647
1,3,O,O,5,0.111609
1,3,O,O,5,0.116158
1,3,O,O,5,0.154705
1,3,O,O,5,0.111439
1,3,O,O,5,0.159540
1,3,O,O,5,0.110828
1,3,O,O,7,0.114633
1,3,O,O,5,0.164336
1,3,O,O,5,0.114892
1,3,O,O,7,0.159647
1,3,O,O,5,0.119775
1,3,O,O,7,0.163080
1,3,O,O,5,0.117299
1,3,O,O,5,0.163870
1,3,O,O,5,0.114036
1,3,O,O,5,0.114704
1,3,O,O,5,0.163198
2,1,X,X,5,0.000071
2,1,X,Tie,9,0.000167
2,1,X,X,5,0.000097
2,1,X,X,5,0.000083
2,1,X,X,5,0.000071
2,1,X,X,5,0.000082
2,1,X,X,7,0.000112
2,1,X,X,5,0.000067
2,1,X,Tie,9,0.000195
2,1,X,X,5,0.000060
